"PRODUIT_ID
",NOM_PROD,QUANTITE,CATEGORIE,DATE_PEREMPTION
1,Tomates,5,LEGUMES,,
2,Poivrons,4,LEGUMES,,
3,Carottes,2,LEGUMES,,
4,Courgettes,5,LEGUMES,,
5,Bananes,3,FRUITS,,
6,Fraises,10,FRUITS,,
7,Pommes,6,FRUITS,,
8,Ananas,1,FRUITS,,
9,Peches,0,FRUITS,,
10,Poulet,2,VIANDES,25/01/2020,
11,Boeuf,1,VIANDES,05/03/2020,
12,Dinde,0,VIANDES,,
13,Colin,3,POISSONS,12/02/2020,
14,Saumon,2,POISSONS,15/02/2020,
15,Lasagnes,1,CUISINES,10/07/2021,
16,Bières,6,BOISSONS,,
17,Jus orange,2,BOISSONS,03/05/2022,
18,Jus raisin,0,BOISSONS,,
19,Gruyere,2,LAITAGES,24/02/2022,
20,Kiri,3,LAITAGES,10/05/2021,
21,Lait,0,LAITAGES,,
22,Yaourts,6,LAITAGES,14/06/2020,
23,Oeufs,6,AUTRES,,
